Source Url,permID,ALIU Index,Last Name,First Name,First Name Last Name,permID,Name Variants
https://www.archives.gov/research/holocaust/art/oss-art-looting-investigation-name-index.html#a,ALIUINDEX1,A.W.A.G.,A.W.A.G., ,A.W.A.G.,ALIUINDEX1,"A.W.A.G.,,,"
https://www.archives.gov/research/holocaust/art/oss-art-looting-investigation-name-index.html#a,ALIUINDEX2,"Abb, Dr. Gustav",Abb,Dr. Gustav,Dr. Gustav Abb,ALIUINDEX2,"Dr. Gustav Abb,Gustav Abb,,"
https://www.archives.gov/research/holocaust/art/oss-art-looting-investigation-name-index.html#a,ALIUINDEX3,Abels Brothers,Abels Brothers,, Abels Brothers,ALIUINDEX3,"Abels Brothers,,,"
https://www.archives.gov/research/holocaust/art/oss-art-looting-investigation-name-index.html#a,ALIUINDEX4,"Abetz, Otto",Abetz,Otto,Otto Abetz,ALIUINDEX4,"Otto Abetz,,,"
https://www.archives.gov/research/holocaust/art/oss-art-looting-investigation-name-index.html#a,ALIUINDEX5,"Accorsi, Pietro",Accorsi,Pietro,Pietro Accorsi,ALIUINDEX5,"Pietro Accorsi,,,"
https://www.archives.gov/research/holocaust/art/oss-art-looting-investigation-name-index.html#a,ALIUINDEX6,"Ader, Etienne",Ader,Etienne,Etienne Ader,ALIUINDEX6,"Etienne Ader,,,"
https://www.archives.gov/research/holocaust/art/oss-art-looting-investigation-name-index.html#a,ALIUINDEX7,"Adriani, Gert",Adriani,Gert,Gert Adriani,ALIUINDEX7,"Gert Adriani,,,"
https://www.archives.gov/research/holocaust/art/oss-art-looting-investigation-name-index.html#a,ALIUINDEX8,"Adrion, Philippe",Adrion,Philippe,Philippe Adrion,ALIUINDEX8,"Philippe Adrion,,,"
https://www.archives.gov/research/holocaust/art/oss-art-looting-investigation-name-index.html#a,ALIUINDEX9,"Aduana, PujolRubio, S.A.",Aduana,PujolRubio,PujolRubio Aduana,ALIUINDEX9,"PujolRubio Aduana,,,"
https://www.archives.gov/research/holocaust/art/oss-art-looting-investigation-name-index.html#a,ALIUINDEX10,Aguilar-Lemonnier,Aguilar-Lemonnier,, Aguilar-Lemonnier,ALIUINDEX10,"Aguilar-Lemonnier,,,"
https://www.archives.gov/research/holocaust/art/oss-art-looting-investigation-name-index.html#a,ALIUINDEX11,Ahnenerbe,Ahnenerbe,, Ahnenerbe,ALIUINDEX11,"Ahnenerbe,,,"
https://www.archives.gov/research/holocaust/art/oss-art-looting-investigation-name-index.html#a,ALIUINDEX12,"Albin, Marie",Albin,Marie,Marie Albin,ALIUINDEX12,"Marie Albin,,,"
https://www.archives.gov/research/holocaust/art/oss-art-looting-investigation-name-index.html#a,ALIUINDEX13,"Alendorf, Wilhelm",Alendorf,Wilhelm,Wilhelm Alendorf,ALIUINDEX13,"Wilhelm Alendorf,,,"
https://www.archives.gov/research/holocaust/art/oss-art-looting-investigation-name-index.html#a,ALIUINDEX14,"Alexander, Jean Charles",Alexander,Jean Charles,Jean Charles Alexander,ALIUINDEX14,"Jean Charles Alexander,,,"
https://www.archives.gov/research/holocaust/art/oss-art-looting-investigation-name-index.html#a,ALIUINDEX15,"Alibert, Justice",Alibert,Miniister of Justice,Raphaël Alibert,ALIUINDEX15,"Raphaël Alibert,,,"
https://www.archives.gov/research/holocaust/art/oss-art-looting-investigation-name-index.html#a,ALIUINDEX16,"Allais, J.",Allais,J.,J. Allais,ALIUINDEX16,"J. Allais,,,"
https://www.archives.gov/research/holocaust/art/oss-art-looting-investigation-name-index.html#a,ALIUINDEX17,"Allard, Baron Olivier",Allard,Baron Olivier,Baron Olivier Allard,ALIUINDEX17,"Baron Olivier Allard,,,"
https://www.archives.gov/research/holocaust/art/oss-art-looting-investigation-name-index.html#a,ALIUINDEX18,"Almas-Diamant, Ali",Almas-Diamant,Ali,Ali Almas-Diamant,ALIUINDEX18,"Ali Almas-Diamant,,,"
https://www.archives.gov/research/holocaust/art/oss-art-looting-investigation-name-index.html#a,ALIUINDEX19,Almas-Dietrich Galerie,Almas-Dietrich Galerie,, Almas-Dietrich Galerie,ALIUINDEX19,"Almas-Dietrich Galerie,,,"
